Número registre,Nom establiment,Codi tipus establiment,Tipus establiment,Codi establiment pare,Titular,Telèfon,Codi tipus de via,Tipus de via,Nom de la via,Número de la via,Quilòmetre,Bloc,Portal,Escala,Pis,Porta,Codi postal,Codi municipi,Municipi,Article municipi,Codi comarca,Comarca,Codi província,Província,Codi ABS,ABS,Codi sector sanitari,Sector sanitari,Codi regió sanitària,Regió sanitària,Longitud,Latitud,Georeferència
F08009451,"CLAVE BULLICH, ELISA",F,Farmàcia,,Elisa Clavé  Bullich,934291664,CR,CARRER,PEDRELL,121,,,,,,,08032,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,053,Barcelona - 07C,7853,Barcelona Horta - Guinardó,78,Barcelona,2.162530846,41.423920871,POINT (2.162530846 41.423920871)
F08017879,"FERNÁNDEZ BELLIDO, FRANCISCA",F,Farmàcia,,FRANCISCA FERNÁNDEZ BELLIDO,933504896,CR,CARRER,ENRIC CASANOVAS,94,,,,,,,08016,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,403,Barcelona - 08L,7854,Barcelona Nou Barris,78,Barcelona,2.180895871,41.441882222,POINT (2.180895871 41.441882222)
F43002030,"PUJOL PERPIÑA, ARTUR",F,Farmàcia,,"PUJOL PERPIÑA, ARTUR",977221323,CR,CARRER,EIVISSA,7-9,,,,,,,43005,43148,TARRAGONA,,36,TARRAGONES,43,TARRAGONA,241,Tarragona - 3,6258,Tarragonès - Baix Penedès,62,Camp de Tarragona,1.244250517,41.114092468,POINT (1.244250517 41.114092468)
F08008560,"BARNADAS RULL, CLARA",F,Farmàcia,,Clara Barnadas Rull,934492738,CR,CARRER,LA FLORIDA,53,,,,,,,08905,08101,HOSPITALET DE LLOBRE,L',13,BARCELONES,08,BARCELONA,294,L'Hospitalet de Llobregat - 07 Florida Nord,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.112058051,41.370267478,POINT (2.112058051 41.370267478)
V08548460,ÒPTICA COMAS ORTOPÈDIA,V,Òptica,,"ÒPTICA COMAS ORTOPÈDIA, SCP",938861055,PL,PLAÇA,SANTA CLARA,6,,,,,,,08500,08298,VIC,,24,OSONA,08,BARCELONA,350,Vic - 1 Nord,6745,Osona,67,Catalunya Central,2.255282664,41.930841304,POINT (2.255282664 41.930841304)
F08002287,"TARIN BELLOT, MERITXELL",F,Farmàcia,,MERITXELL TARIN BELLOT,937362023,CR,CARRER,FONT VELLA,71,,,,,,,08221,08279,TERRASSA,,40,VALLES OCCIDENTAL,08,BARCELONA,247,Terrassa - A,7843,Vallès Occidental Oest,78,Barcelona,2.013792666,41.562876534,POINT (2.013792666 41.562876534)
F08009268,"MESTRE ROVIRA, ESTHER",F,Farmàcia,,Ma. Esther Mestre Rovira,933528002,CR,CARRER,DOCTOR PI I MOLIST,66,,,,,,,08016,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,402,Barcelona - 08K,7854,Barcelona Nou Barris,78,Barcelona,2.17347846,41.433039112,POINT (2.17347846 41.433039112)
V43504375,ALAIN AFFLELOU ÓPTICO,V,Òptica,,AAO OPTICO SAU,977549869,CT,CARRETERA,DE REUS,4,,,,,,,43006,43148,TARRAGONA,,36,TARRAGONES,43,TARRAGONA,000,No informat,0000,Desconegut,00,No informat,1.233172461,41.117733128,POINT (1.233172461 41.117733128)
F08025206,"GALCERAN ROCA, ANDREU",F,Farmàcia,,Andreu Galceran Roca,937127584,CR,CARRER,Santa Maria de Mazzarello,80,,,,,,,08224,08279,TERRASSA,,40,VALLES OCCIDENTAL,08,BARCELONA,250,Terrassa - D,7843,Vallès Occidental Oest,78,Barcelona,1.996525358,41.563900689,POINT (1.996525358 41.563900689)
F43002015,"ROIG ARDÈVOL, JOAN RAMON / ROIG FERRÉ, MARC",F,Farmàcia,,Joan Ramon Roig Ardèvol i Marc Roig Ferré,977752242,AV,AVINGUDA,CARDENAL VIDAL I BARRAQUER,32,,,,,,,43205,43123,REUS,,08,BAIX CAMP,43,TARRAGONA,307,Reus - 5,6259,Baix Camp - Priorat,62,Camp de Tarragona,1.10962214,41.146972827,POINT (1.10962214 41.146972827)
F08017607,"CORAL VIGOUROUX, NINA",F,Farmàcia,,Nina Coral Vigouroux,933732057,CR,CARRER,TORRENT D'EN NEGRE,10,,,,,,,08970,08217,SANT JOAN DESPÍ,,11,BAIX LLOBREGAT,08,BARCELONA,213,Sant Joan Despí - 1,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.057342695,41.36707331,POINT (2.057342695 41.36707331)
F17002174,"RIBAS FIGUERAS, NURIA",F,Farmàcia,,"RIBAS FIGUERAS, NURIA",972509419,PL,PLAÇA,CATALUNYA,2,,,,,,,17760,17214,VILABERTRAN,,02,ALT EMPORDA,17,GIRONA,177,Peralada,6461,Girona Nord,64,Girona,2.981667567,42.282773294,POINT (2.981667567 42.282773294)
F43001420,"MESTRES VIDIELLA, JOAN / MESTRES PEDRET, JOAN",F,Farmàcia,,Joan Mestres Vidiella i Joan Mestres Pedret,977826060,CR,CARRER,SANT JORDI,13,,,,,,,43340,43088,MONTBRIÓ DEL CAMP,,08,BAIX CAMP,43,TARRAGONA,188,Riudoms,6259,Baix Camp - Priorat,62,Camp de Tarragona,1.004768012,41.121364441,POINT (1.004768012 41.121364441)
F43002953,"MAÑE NOYA, JORDI",F,Farmàcia,,"MAÑE NOYA, JORDI",977612350,CT,CARRETERA,VILABELLA,18,,,,,,,43812,43119,PUIGPELAT,,01,ALT CAMP,43,TARRAGONA,262,Alt Camp Est,6257,Alt Camp - Conca de Barberà,62,Camp de Tarragona,1.298810681,41.278722708,POINT (1.298810681 41.278722708)
F17002262,"ISAMAT BALCELLS, JOAQUIM",F,Farmàcia,,"ISAMAT BALCELLS, JOAQUIM",972687201,CR,CARRER,MAJOR,25,,,,,,,17854,17165,SANT JAUME DE LLIERCA,,19,GARROTXA,17,GIRONA,083,Besalú,6461,Girona Nord,64,Girona,2.607892704,42.212000285,POINT (2.607892704 42.212000285)
V08516243,ÒPTICA SEGARRA,V,Òptica,,"ÒPTICA SEGARRA, SL",,CR,CARRER,TAMARIT,149,,,,,,,08015,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,021,Barcelona - 02A,7851,Barcelona Eixample,78,Barcelona,2.160043206,41.378099957,POINT (2.160043206 41.378099957)
F08009331,"MIRALLES COLOMINA, ESTHER",F,Farmàcia,,Esther Miralles Colomina,934178138,CR,CARRER,BERTRAND I SERRA,16,,,,,,,08022,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,043,Barcelona - 05B,7850,Barcelona Sarrià - Sant Gervasi,78,Barcelona,2.133600762,41.402451672,POINT (2.133600762 41.402451672)
F08019121,"CORRAL SERRANO, M.CARME",F,Farmàcia,,Ma. Carmen Corral Serrano,933507246,CR,CARRER,VILA-REAL,3-5,,,,,,,08033,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,327,Barcelona - 08I,7854,Barcelona Nou Barris,78,Barcelona,2.184865341,41.450697583,POINT (2.184865341 41.450697583)
F43002833,"LOPEZ PIÑOL, DAVID",F,Farmàcia,,"LOPEZ PIÑOL, DAVID",977561625,CR,CARRER,LORETO,25,,,,,,,43363,43157,ULLDEMOLINS,,29,PRIORAT,43,TARRAGONA,112,Cornudella de Montsant,6259,Baix Camp - Priorat,62,Camp de Tarragona,0.878676101,41.32093932,POINT (0.878676101 41.32093932)
V08552509,ÒPTICA ANNA GIBERT,V,Òptica,,Anna Gibert Fontcuberta,,PL,PLAÇA,HORTES,5,,,,,,,08401,08096,GRANOLLERS,,41,VALLES ORIENTAL,08,BARCELONA,286,Granollers - 3 Centre Est,7842,Vallès Oriental,78,Barcelona,2.282810729,41.605864601,POINT (2.282810729 41.605864601)
A08709220,GENERAL OPTICA,A,Audiopròtesi,,"GENERAL OPTICA, SA",933037970,RB,RAMBLA,POBLE NOU,104,,,,,,,08005,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,073,Barcelona - 10C,7847,Barcelona Sant Martí,78,Barcelona,2.178389965,41.382405391,POINT (2.178389965 41.382405391)
V08501014,"ÒPTICA DEL MERCAT D'IGUALADA, SL",V,Òptica,,"Òpitca del Mercat d'Igualada, SL",,CR,CARRER,ODENA,38,,,,,,,08700,08102,IGUALADA,,06,ANOIA,08,BARCELONA,371,Igualada - 1,6735,Anoia,67,Catalunya Central,1.619111297,41.580790442,POINT (1.619111297 41.580790442)
F17000995,"PEÑA VILA, FRANCESC DE LA",F,Farmàcia,,"DE LA PEÑA VILÀ, FRANCESC",972321131,CR,CARRER,D'ANSELM CLAVÉ,8,,,,,,,17220,17160,SANT FELIU DE GUÍXOLS,,10,BAIX EMPORDA,17,GIRONA,208,Sant Feliu de Guíxols,6461,Girona Nord,64,Girona,3.029656997,41.780516348,POINT (3.029656997 41.780516348)
F08010915,"COMAS ANYE, M. ANGELS",F,Farmàcia,,Ma. Àngels Comas Anye,933007518,AV,AVINGUDA,GRAN VIA CORTS CATALANES,871,,,,,,,08018,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,077,Barcelona - 10G,7847,Barcelona Sant Martí,78,Barcelona,2.192027929,41.407581018,POINT (2.192027929 41.407581018)
A08557169,GAES CENTRES AUDITIUS,A,Audiopròtesi,,"AMPLIFON IBERICA, SAU",,PL,PLAÇA,LLUIS PERPINYA,16-17,,,,,,,08401,08096,GRANOLLERS,,41,VALLES ORIENTAL,08,BARCELONA,286,Granollers - 3 Centre Est,7842,Vallès Oriental,78,Barcelona,2.289326613,41.609530865,POINT (2.289326613 41.609530865)
A17727639,L'OPTICA UNIVERSITÀRIA,A,Audiopròtesi,,"ÒPTICA DEL PENEDÈS, S.L.",,CR,CARRER,SANT PERE,32,,,,,,,17310,17095,LLORET DE MAR,,34,SELVA,17,GIRONA,142,Lloret de Mar,6462,Girona Sud,64,Girona,2.846321406,41.700483902,POINT (2.846321406 41.700483902)
V08534669,MULTIOPTICAS IDEAL,V,Òptica,,"Optideal, S.L.",,CR,CARRER,ANSELM CLAVE,62,,,,,,,08902,08101,HOSPITALET DE LLOBRE,L',13,BARCELONES,08,BARCELONA,292,L'Hospitalet de Llobregat - 05 Santa Eulàlia Nord,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.12720149,41.36468687,POINT (2.12720149 41.36468687)
P08747265,ORTOPÈDIA DE LA RAMBLA,P,Ortopèdia,,Ma. Dolors Morales Guarch,678462139,PL,PLAÇA,BARCELONA,7,,,,,,,08204,08187,SABADELL,,40,VALLES OCCIDENTAL,08,BARCELONA,197,Sabadell - 6,7844,Vallès Occidental Est,78,Barcelona,2.11619672,41.531349274,POINT (2.11619672 41.531349274)
V08717581,L'OPTICA DEL TORRENT,V,Òptica,,Dolores Redondo Vidal,932375052,TO,TORRENT,DE L'OLLA,69,,,,,,,0,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,000,No informat,0000,Desconegut,00,No informat,2.158579169,41.400985359,POINT (2.158579169 41.400985359)
V08524572,"ÒPTICA 98, S.L. (OPTIPOLIS)",V,Òptica,,"ÒPTICA 98, S.L. (OPTIPOLIS)",937337146,PS,PASSEIG,VAPOR GRAN,4B,,,,,,,08221,08279,TERRASSA,,40,VALLES OCCIDENTAL,08,BARCELONA,247,Terrassa - A,7843,Vallès Occidental Oest,78,Barcelona,2.013159628,41.5601952,POINT (2.013159628 41.5601952)
F25011203,"TURMO BENDICHO, MARIA",F,Farmàcia,,"TURMO BENDICHO, MARIA",973233327,AV,AVINGUDA,PRAT DE LA RIBA,30,,,,,,,25004,25120,LLEIDA,,33,SEGRIA,25,LLEIDA,137,Lleida - 3 Eixample,6156,Lleida,61,Lleida,0.621555488,41.619838358,POINT (0.621555488 41.619838358)
F08018600,"VILLAR RAURICH, EUGÈNIA",F,Farmàcia,,EUGÈNIA VILLAR RAURICH,933091529,CR,CARRER,LLULL,229,,,,,,,08005,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,072,Barcelona - 10B,7847,Barcelona Sant Martí,78,Barcelona,2.20445764,41.40288374,POINT (2.20445764 41.40288374)
F08020511,"GAYA MONTSERRAT, SANTIAGO",F,Farmàcia,,Santiago Gaya Montserrat,938903619,CR,CARRER,CARRERADA,28,,,,,,,08734,08145,OLÈRDOLA,,03,ALT PENEDES,08,BARCELONA,406,Penedès rural - Oest,7865,Alt Penedès - Garraf,78,Barcelona,1.693029075,41.324595367,POINT (1.693029075 41.324595367)
F08751078,SITJÀ TOST  M DOLORS,F,Farmàcia,,M. Dolors Sitjà Tost,931289149,CR,CARRER,TAGAMANENT,83,,,,,,,08520,08086,LES FRANQUESES DEL VAL,,41,VALLES ORIENTAL,08,BARCELONA,285,Granollers - 2 Nord,7842,Vallès Oriental,78,Barcelona,2.297775124,41.630002236,POINT (2.297775124 41.630002236)
V08553887,TRIOPTIC,V,Òptica,,Alejandro Garrido Corbella,661759877,CR,CARRER,CAMELIES,22,,,,,BX,,08024,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,358,Barcelona - 06E,7852,Barcelona Gràcia,78,Barcelona,2.159754491,41.411290575,POINT (2.159754491 41.411290575)
V08546671,CENTRO ÓPTICO MIRAFLORES,V,Òptica,,"CENTRO OPTICO MIRAFLORES, S.L.",,AV,AVINGUDA,MIRAFLORES,90,,,,,,,08905,08101,HOSPITALET DE LLOBRE,L',13,BARCELONES,08,BARCELONA,294,L'Hospitalet de Llobregat - 07 Florida Nord,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.106830999,41.372721231,POINT (2.106830999 41.372721231)
F08012246,"GÓMEZ AVILA, JESSICA GIOVANNA",F,Farmàcia,,JESSICA GIOVANNA GÓMEZ AVILA,933730856,CR,CARRER,SANT ANTONI,22,,,,,,,08970,08217,SANT JOAN DESPÍ,,11,BAIX LLOBREGAT,08,BARCELONA,214,Sant Joan Despí - 2,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.071001443,41.367063223,POINT (2.071001443 41.367063223)
A08560771,L'ÒPTICA UNIVERSITÀRIA,A,Audiopròtesi,,"ÒPTICA DEL PENEDÈS, S.L.",932601220,AV,AVINGUDA,JACQUARD,87-89,,,,,,,08222,08279,TERRASSA,,40,VALLES OCCIDENTAL,08,BARCELONA,247,Terrassa - A,7843,Vallès Occidental Oest,78,Barcelona,2.021457806,41.564000508,POINT (2.021457806 41.564000508)
F08021787,"BUENACHE BLANCO, ALICIA/DIAZ BUENACHE, LAURA",F,Farmàcia,,ALICIA BUENACHE BLANCO/LAURA DÍAZ BUENACHE,937520488,CR,CARRER,GRAN VIA DE LLUIS COMPANYS,241,,,,,,,08330,08172,PREMIÀ DE MAR,,21,MARESME,08,BARCELONA,186,Premià de Mar,7867,Barcelonès Nord i Maresme,78,Barcelona,2.364631795,41.495372525,POINT (2.364631795 41.495372525)
F43000770,"BRU ROIG, BLANCA",F,Farmàcia,,"BRU ROIG, BLANCA",977211340,CR,CARRER,DE FALSET,16,,,,,,,43006,43148,TARRAGONA,,36,TARRAGONES,43,TARRAGONA,240,Tarragona - 2,6258,Tarragonès - Baix Penedès,62,Camp de Tarragona,1.218224275,41.120754694,POINT (1.218224275 41.120754694)
F08022822,NÚRIA DE BOLÓS GIRALT,F,Farmàcia,,Núria de Bolós Giralt,933363135,CR,CARRER,CAN TRIES,21,,,,,,,08902,08101,HOSPITALET DE LLOBRE,L',13,BARCELONES,08,BARCELONA,298,L'Hospitalet de Llobregat - 11 Gornal,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.119517325,41.359044102,POINT (2.119517325 41.359044102)
V08515151,"GENERAL ÓPTICA, SA",V,Òptica,,"GENERAL OPTICA, SA",,CR,CARRER,ARTESANIA,26,,,,,,,08042,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,061,Barcelona 8-E,7854,Barcelona Nou Barris,78,Barcelona,2.17498864,41.439261483,POINT (2.17498864 41.439261483)
V08716250,ALAIN AFFLELOU,V,Òptica,,"SURA VISION, SLU",636732538,CT,CARRETERA,"NACIONAL 150, Km 6,7 CC. Baricentro",S/N,,,,,,,08210,08252,BARBERÀ DEL VALLÈS,,40,VALLES OCCIDENTAL,08,BARCELONA,320,Barberà del Vallès,7844,Vallès Occidental Est,78,Barcelona,2.121981689,41.518187013,POINT (2.121981689 41.518187013)
A08557377,OPTICA 2000,A,Audiopròtesi,,GRANDVISION SPAIN GRUPO ÓPTICO SAU,933632838,CR,CARRER,DANTE ALIGHIERI,75,,,,,,,08032,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,054,Barcelona - 07D,7853,Barcelona Horta - Guinardó,78,Barcelona,2.157852904,41.427571298,POINT (2.157852904 41.427571298)
A17761679,ALAIN AFFLELOU,A,Audiopròtesi,,"Òptica Valls Mestre, SL",652861191,PL,PLAÇA,CLARÀ,1,,,,,,,17800,17114,OLOT,,19,GARROTXA,17,GIRONA,171,Olot,6461,Girona Nord,64,Girona,2.485631973,42.180319207,POINT (2.485631973 42.180319207)
V08515803,"SAN ANTONIO RUBÍ, S.L.",V,Òptica,,"ÓPTICA SAN ANTONIO RUBÍ, SL",,CR,CARRER,RAFAEL CASANOVAS,11,,,,,,,08191,08184,RUBÍ,,40,VALLES OCCIDENTAL,08,BARCELONA,309,Rubí - 1,7843,Vallès Occidental Oest,78,Barcelona,2.031571739,41.493171719,POINT (2.031571739 41.493171719)
F08020046,"GOMEZ MUNDO, MARTA",F,Farmàcia,,"GOMEZ MUNDO, MARTA",936313805,AV,AVINGUDA,ONZE DE SETEMBRE,38,,,,,,,08553,08269,SEVA,,24,OSONA,08,BARCELONA,253,Tona,6745,Osona,67,Catalunya Central,2.281495979,41.837486565,POINT (2.281495979 41.837486565)
F25004904,"MIJANA FARRENY, MARIA CARME/MIJANA FARRENY, MERCEDES.",F,Farmàcia,,MERCEDES MIJANA FARRENY I MARIA CARME MIJANA FARRENY,973470706,CR,CARRER,IGNASI ESTEVE,9,,,,,,,25790,25149,OLIANA,,04,ALT URGELL,25,LLEIDA,169,Alt Urgell Sud,7164,Alt Pirineu,71,Alt Pirineu i Aran,1.313964588,42.06808931,POINT (1.313964588 42.06808931)
V08763154,OPTOMETRIA DELA,V,Òptica,,LAURA ORTIZ MACHADO,625096556,CR,CARRER,BORRIANA,90,,,,,,,08030,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,395,Barcelona - 09H,7855,Barcelona Sant Andreu,78,Barcelona,2.193084326,41.430769918,POINT (2.193084326 41.430769918)
F08018978,"MIR RICÓS, SERGIO",F,Farmàcia,,Sergio Mir Ricós,933883808,RD,RONDA,SANT ANTONI LLEFIA,95-99,,,,,,,08913,08015,BADALONA,,13,BARCELONES,08,BARCELONA,341,Badalona - 07A,7867,Barcelonès Nord i Maresme,78,Barcelona,2.217809067,41.441460855,POINT (2.217809067 41.441460855)
F08009010,"SOLORES GIRON, MARIA BELEN",F,Farmàcia,,M. Belén Solores Girón,933760194,CR,CARRER,LES ORIOLES,6,,,,,,,08940,08073,CORNELLÀ DE LLOBREGAT,,11,BAIX LLOBREGAT,08,BARCELONA,111,Cornellà de Llobregat - 4,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.074932763,41.363114692,POINT (2.074932763 41.363114692)
F08008000,"PANTALEONI GIRALT, ALBERT",F,Farmàcia,,Albert Pantaleoni Giralt,932092938,CR,CARRER,CALVET,70,,,,,,,08021,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,042,Barcelona - 05A,7850,Barcelona Sarrià - Sant Gervasi,78,Barcelona,2.141534516,41.396472777,POINT (2.141534516 41.396472777)
F08023921,"TORRENT TRABAL, MARIA TERESA",F,Farmàcia,,Maria Teresa Torrent Trabal,937925877,RI,RIERA,PARE FITA,32-34,,,,,,,08350,08006,ARENYS DE MAR,,21,MARESME,08,BARCELONA,009,Arenys de Mar,7867,Barcelonès Nord i Maresme,78,Barcelona,2.548026328,41.583301936,POINT (2.548026328 41.583301936)
V08540888,PARC VISIÓ,V,Òptica,,Anna Barceló Cisquella,,CR,CARRER,SARDENYA,61,,,,,BA,,08018,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,071,Barcelona - 10A,7847,Barcelona Sant Martí,78,Barcelona,2.187538291,41.392506509,POINT (2.187538291 41.392506509)
F25005344,"GABAS ROCAFORT, JORDI/GABAS GASA, CAROLINA",F,Farmàcia,,JORDI GABAS ROCAFORT/CAROLINA GABAS GASA,973680066,CR,CARRER,SANT MIQUEL DEL PUY,8,,,,,,,25500,25171,LA POBLA DE SEGUR,,25,PALLARS JUSSA,25,LLEIDA,179,La Pobla de Segur,7164,Alt Pirineu,71,Alt Pirineu i Aran,0.968145307,42.247424064,POINT (0.968145307 42.247424064)
V08516557,CENTRO ÓPTICO DEL VALLÉS,V,Òptica,,"Òptics i Optometristes Ciber, S.L.",938716155,CR,CARRER,BANYS,6,,,,,,,08530,08088,LA GARRIGA,,41,VALLES ORIENTAL,08,BARCELONA,121,La Garriga,7842,Vallès Oriental,78,Barcelona,2.285729161,41.684350083,POINT (2.285729161 41.684350083)
F08006605,"ESTRUCH GARRIGA,ANDREU",F,Farmàcia,,ANDREU ESTRUCH GARRIGA,934221618,CR,CARRER,BADAL,156,,,,,,,08028,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,036,Barcelona - 03E,7849,Barcelona Sants - Montjuïc,78,Barcelona,2.131466444,41.373323631,POINT (2.131466444 41.373323631)
F08019636,"MALLASSEN ZINSSER, ISABEL",F,Farmàcia,,Isabel Mallasen Zinsser,936655011,CR,CARRER,DE NARCIS MONTURIOL,3,,,,,,,08860,08056,CASTELLDEFELS,,11,BAIX LLOBREGAT,08,BARCELONA,365,Castelldefels - 1,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,1.984996072,41.285509244,POINT (1.984996072 41.285509244)
F08000106,"TALLADA DOMINGO, MARIA",F,Farmàcia,,MARIA TALLADA DOMINGO,933840453,CR,CARRER,CANONGE BARANERA,60,,,,,,,08911,08015,BADALONA,,13,BARCELONES,08,BARCELONA,273,Badalona - 02,7867,Barcelonès Nord i Maresme,78,Barcelona,2.250998738,41.450257075,POINT (2.250998738 41.450257075)
F25765923,SABATE CABALLE M TERESA,F,Farmàcia,,SABATE CABALLE M TERESA,,CR,CARRER,Major,98,,,,,,,25100,25019,ALMACELLES,,33,SEGRIA,25,LLEIDA,334,Almacelles,6156,Lleida,61,Lleida,0.441812878,41.727123455,POINT (0.441812878 41.727123455)
F08004478,"AMADO RUIZ, JUAN LUIS",F,Farmàcia,,Juan Luis Amado Ruiz,934577651,PL,PLAÇA,SAGRADA FAMILIA,7,,,,,,,08013,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,030,Barcelona - 02J,7851,Barcelona Eixample,78,Barcelona,2.172237228,41.402377064,POINT (2.172237228 41.402377064)
F43001565,"CARDONA JALBUENA, JOSÉ MARIA",F,Farmàcia,,JOSÉ MARIA CARDONA JALBUENA,977313289,PS,PASSEIG,PRIM,32,,,,,,,43202,43123,REUS,,08,BAIX CAMP,43,TARRAGONA,304,Reus - 2,6259,Baix Camp - Priorat,62,Camp de Tarragona,1.103489335,41.15127621,POINT (1.103489335 41.15127621)
F08004894,"GRANELL SAENZ DE BURUAGA, MARTA",F,Farmàcia,,Marta Granell Saenz de Buruaga,933219937,CR,CARRER,SOLA,1,,,,,,,08014,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,040,Barcelona - 04B,7848,Barcelona Les Corts,78,Barcelona,2.132314811,41.386992421,POINT (2.132314811 41.386992421)
F17001999,"CROSAS CASALPRIM, JUDITH",F,Farmàcia,,"CROSAS CASALPRIM, JUDITH",972250108,CR,CARRER,DE LA PRESÓ,6,,,,,,,17486,17047,CASTELLÓ D'EMPÚRIES,,02,ALT EMPORDA,17,GIRONA,189,Roses,6461,Girona Nord,64,Girona,3.074822426,42.257930369,POINT (3.074822426 42.257930369)
F08019481,"DALMAU CIVIT, SUSANNA",F,Farmàcia,,Susanna Dalmau Civit,938708106,AV,AVINGUDA,SANT ESTEVE,23,,,,,,,08402,08096,GRANOLLERS,,41,VALLES ORIENTAL,08,BARCELONA,286,Granollers - 3 Centre Est,7842,Vallès Oriental,78,Barcelona,2.290717541,41.604074298,POINT (2.290717541 41.604074298)
F08014282,"BERNAD SORJUS, BEATRIZ",F,Farmàcia,,Beatriz Bernad Sorjús,933841004,CR,CARRER,POMPEU FABRA,12-18,,,,,,,08911,08015,BADALONA,,13,BARCELONES,08,BARCELONA,272,Badalona - 01,7867,Barcelonès Nord i Maresme,78,Barcelona,2.258457575,41.456550147,POINT (2.258457575 41.456550147)
F08018819,"GARCIAPONS PULIDO,MARGARITA/GARCIAPONS PULIDO,PATRICIA",F,Farmàcia,,Margarita Garciapons Pulido (50%) i Patricia Garciapons Pulido (50%) (36532355Y),933454008,CR,CARRER,CINCA,92,,,,,,,08030,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,396,Barcelona - 09I,7855,Barcelona Sant Andreu,78,Barcelona,2.192106735,41.44176611,POINT (2.192106735 41.44176611)
P43711847,ORTOPEDIA ESCUDÉ,P,Ortopèdia,F43003322,"ESCUDE PONT, MARC",977130735,CR,CARRER,FILADORS,8,,,,,,,43830,43153,TORREDEMBARRA,,36,TARRAGONES,43,TARRAGONA,257,Torredembarra,6258,Tarragonès - Baix Penedès,62,Camp de Tarragona,1.401206278,41.144892928,POINT (1.401206278 41.144892928)
F08004407,"LLULL FERRO, JOAN",F,Farmàcia,,Joan Llull Ferro,934907746,CR,CARRER,COMTES DE BELL-LLOC,140,,,,,,,08014,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,038,Barcelona - 03G,7849,Barcelona Sants - Montjuïc,78,Barcelona,2.136491385,41.381898927,POINT (2.136491385 41.381898927)
F08014116,"CASAS PLA, JAIME",F,Farmàcia,,Jaime Casas Pla,933790996,CT,CARRETERA,DE LA MARINA,7,,,,,,,08820,08169,EL PRAT DE LLOBREGAT,,11,BAIX LLOBREGAT,08,BARCELONA,182,El Prat de Llobregat - 1,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.098710839,41.329078504,POINT (2.098710839 41.329078504)
F08002463,"ACEVES ARGEMI, HELENA",F,Farmàcia,,Helena Aceves Argemí,938590439,CR,CARRER,ENRIC PRAT DE LA RIBA,1,,,,,,,08570,08285,TORELLÓ,,24,OSONA,08,BARCELONA,254,Vall del Ges,6745,Osona,67,Catalunya Central,2.263042397,42.048680523,POINT (2.263042397 42.048680523)
A43560595,ÒPTICA SALAS,A,Audiopròtesi,,"OPTICA SALAS, S.L.",977781304,PL,PLAÇA,ALFONS XII,8,,,,,,,43500,43155,TORTOSA,,09,BAIX EBRE,43,TARRAGONA,255,Tortosa - 1 Est,6360,Terres de l'Ebre,63,Terres de l'Ebre,0.521072812,40.809344743,POINT (0.521072812 40.809344743)
V08739560,ÒPTICA 2000,V,Òptica,,GRANDVISION SPAIN GRUPO ÓPTICO SAU,933632838,PL,PLAÇA,CATALUNYA,14,,,,,8,,08002,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,028,Barcelona - 02H,7851,Barcelona Eixample,78,Barcelona,2.171030135,41.387629524,POINT (2.171030135 41.387629524)
F08005993,"SALA SOLER, MARTA",F,Farmàcia,,Marta Sala Soler,932160243,CR,CARRER,BALMES,173,,,,,,,08006,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,042,Barcelona - 05A,7850,Barcelona Sarrià - Sant Gervasi,78,Barcelona,2.153704272,41.395955594,POINT (2.153704272 41.395955594)
